"eligibleTitle","oscarsYear","isAdult","startYear","runtimeMinutes","winner","id"
"7th Heaven","1928","0","1927","110","1","m0001"
"Metropolis","1928","0","1927","153","0","m0002"
"Speedy","1928","0","1928","85","0","m0003"
"Stark Love","1928","0","1927","70","0","m0004"
"Sunrise","1928","0","1927","94","0","m0005"
"The Big Parade","1928","","","","0","m0006"
"The Cat and the Canary","1928","0","1927","108","0","m0007"
"The Circus","1928","0","1928","72","0","m0008"
"The Cossacks","1928","0","1928","92","0","m0009"
"The Crowd","1928","0","1928","98","0","m0010"
"The Jazz Singer","1928","0","1927","88","0","m0011"
"The Racket","1928","0","1928","84","1","m0012"
"The Student Prince in Old Heidelberg","1928","0","1927","106","0","m0013"
"Two Arabian Nights","1928","","","","0","m0014"
"Underworld","1928","0","1927","80","0","m0015"
"Wings","1928","0","1927","144","2","m0016"
"Docks of New York","1929","0","1928","76","0","m0019"
"Lights of New York","1929","0","1928","57","0","m0020"
"Our Dancing Daughters","1929","0","1928","85","0","m0022"
"Show Boat","1929","0","1929","147","0","m0023"
"The Broadway Melody","1929","0","1929","100","2","m0024"
"The Cameraman","1929","0","1928","69","0","m0025"
"The Iron Mask","1929","0","1929","95","0","m0026"
"The Letter","1929","0","1929","65","0","m0027"
"The Man Who Laughs","1929","0","1928","110","0","m0028"
"The Wind","1929","0","1928","95","0","m0031"
"West of Zanzibar","1929","0","1928","65","0","m0032"
"White Shadows in the South Seas","1929","0","1928","88","0","m0033"
"Wild Orchids","1929","0","1929","100","0","m0034"
"All Quiet on the Western Front","1930","0","1930","136","2","m0035"
"Anna Christie","1930","0","1930","89","0","m0036"
"Bulldog Drummond","1930","0","1929","90","0","m0037"
"City Girl","1930","0","1930","77","0","m0038"
"Disraeli","1930","0","1929","90","1","m0039"
"Hallelujah","1930","0","1929","109","0","m0041"
"Hell’s Angels","1930","0","1930","127","0","m0042"
"Holiday","1930","0","1930","91","0","m0043"
"King of Jazz","1930","0","1930","99","0","m0044"
"Marianne","1930","0","1929","111","0","m0045"
"Sunny Side Up","1930","0","1929","121","0","m0046"
"The Big House","1930","0","1930","87","1","m0047"
"The Cocoanuts","1930","0","1929","96","0","m0048"
"The Divorcee","1930","0","1930","84","1","m0049"
"The Kiss","1930","0","1929","62","0","m0050"
"The Love Parade","1930","0","1929","107","1","m0051"
"The Unholy Three","1930","0","1930","72","0","m0052"
"A Free Soul","1931","0","1931","93","0","m0053"
"Abraham Lincoln","1931","0","1930","96","0","m0054"
"Animal Crackers","1931","0","1930","97","0","m0055"
"Charlie Chan Carries On","1931","0","1931","76","0","m0056"
"Cimarron","1931","0","1931","123","2","m0057"
"City Lights","1931","0","1931","87","0","m0058"
"Dracula","1931","0","1931","75","0","m0059"
"Holiday","1931","0","1930","91","0","m0060"
"Illicit","1931","0","1931","79","0","m0061"
"Just Imagine","1931","0","1930","113","0","m0062"
"Little Caesar","1931","0","1931","79","0","m0063"
"Min and Bill","1931","0","1930","69","0","m0064"
"Monte Carlo","1931","0","1930","90","0","m0065"
