"movie_id","trope_id"
"m0001","tr00001"
"m0001","tr00002"
"m0001","tr00003"
"m0001","tr00004"
"m0001","tr00005"
"m0001","tr00006"
"m0001","tr00007"
"m0001","tr00008"
"m0001","tr00009"
"m0001","tr00010"
"m0001","tr00011"
"m0001","tr00012"
"m0001","tr00013"
"m0001","tr00014"
"m0001","tr00015"
"m0001","tr00016"
"m0001","tr00017"
"m0001","tr00018"
"m0001","tr00019"
"m0001","tr00020"
"m0001","tr00021"
"m0001","tr00022"
"m0001","tr00023"
"m0001","tr00024"
"m0001","tr00025"
"m0001","tr00026"
"m0001","tr00027"
"m0001","tr00028"
"m0001","tr00029"
"m0001","tr00030"
"m0001","tr00031"
"m0001","tr00032"
"m0001","tr00033"
"m0001","tr00034"
"m0001","tr00035"
"m0001","tr00036"
"m0001","tr00037"
"m0001","tr00038"
"m0001","tr00039"
"m0001","tr00040"
"m0001","tr00041"
"m0001","tr00042"
"m0002","tr00043"
"m0002","tr00044"
"m0002","tr00045"
"m0002","tr00046"
"m0002","tr00047"
"m0002","tr00048"
"m0002","tr00049"
"m0002","tr00050"
"m0002","tr00051"
"m0002","tr00052"
"m0002","tr00053"
"m0002","tr00054"
"m0002","tr00055"
"m0002","tr00056"
"m0002","tr00057"
"m0002","tr00058"
"m0002","tr00059"
"m0002","tr00060"
"m0002","tr00061"
"m0002","tr00062"
"m0002","tr00063"
"m0002","tr00064"
"m0002","tr00065"
"m0002","tr00066"
"m0002","tr00067"
"m0002","tr00068"
"m0002","tr00069"
"m0002","tr00070"
"m0002","tr00071"
"m0002","tr00072"
"m0002","tr00073"
"m0002","tr00074"
"m0002","tr00075"
"m0002","tr00076"
"m0002","tr00077"
"m0002","tr00078"
"m0002","tr00079"
"m0002","tr00080"
"m0002","tr00081"
"m0002","tr00082"
"m0002","tr00083"
"m0002","tr00084"
"m0002","tr00085"
"m0002","tr00086"
"m0002","tr00087"
"m0002","tr00088"
"m0002","tr00089"
"m0002","tr00090"
"m0002","tr00091"
"m0002","tr00092"
"m0002","tr00093"
"m0002","tr00094"
"m0002","tr00095"
"m0002","tr00096"
"m0002","tr00097"
"m0002","tr00098"
"m0002","tr00099"
"m0002","tr00100"
"m0002","tr00101"
"m0002","tr00102"
"m0002","tr00103"
"m0002","tr00104"
"m0002","tr00105"
"m0002","tr00106"
"m0002","tr00107"
"m0002","tr00108"
"m0002","tr00109"
"m0002","tr00110"
"m0002","tr00111"
"m0002","tr00112"
"m0002","tr00113"
"m0002","tr00114"
"m0002","tr00115"
"m0002","tr00116"
"m0002","tr00117"
"m0002","tr00118"
"m0002","tr00119"
"m0002","tr00120"
"m0002","tr00121"
"m0002","tr00122"
"m0002","tr00123"
"m0002","tr00124"
"m0002","tr00125"
"m0002","tr00126"
"m0002","tr00127"
"m0002","tr00128"
"m0002","tr00129"
"m0002","tr00130"
"m0002","tr00131"
"m0002","tr00132"
"m0002","tr00133"
"m0002","tr00019"
"m0002","tr00134"
"m0002","tr00135"
"m0002","tr00136"
"m0002","tr00137"
"m0002","tr00138"
"m0002","tr00139"
"m0002","tr00140"
"m0002","tr00141"
"m0002","tr00142"
"m0002","tr00143"
"m0002","tr00144"
"m0002","tr00145"
"m0002","tr00146"
"m0002","tr00147"
"m0002","tr00148"
"m0002","tr00149"
"m0002","tr00150"
"m0002","tr00151"
"m0002","tr00152"
"m0002","tr00153"
"m0002","tr00154"
"m0002","tr00155"
"m0002","tr00156"
"m0002","tr00157"
"m0002","tr00158"
"m0002","tr00023"
"m0002","tr00159"
"m0002","tr00160"
"m0002","tr00161"
"m0002","tr00162"
"m0002","tr00163"
"m0002","tr00164"
"m0002","tr00165"
"m0002","tr00166"
"m0002","tr00167"
"m0002","tr00168"
"m0002","tr00169"
"m0002","tr00170"
"m0002","tr00171"
"m0002","tr00172"
"m0002","tr00173"
"m0002","tr00174"
"m0002","tr00175"
"m0002","tr00176"
"m0002","tr00177"
"m0002","tr00178"
"m0002","tr00179"
"m0002","tr00180"
"m0002","tr00181"
"m0002","tr00182"
"m0002","tr00183"
"m0002","tr00184"
"m0002","tr00185"
"m0002","tr00186"
"m0002","tr00187"
"m0002","tr00188"
"m0002","tr00189"
"m0002","tr00190"
"m0002","tr00191"
"m0002","tr00192"
"m0002","tr00193"
"m0002","tr00194"
"m0002","tr00195"
"m0002","tr00196"
"m0002","tr00197"
"m0002","tr00198"
"m0002","tr00199"
"m0002","tr00200"
"m0002","tr00201"
"m0002","tr00202"
"m0002","tr00203"
"m0002","tr00033"
"m0002","tr00204"
"m0002","tr00205"
"m0002","tr00206"
"m0002","tr00207"
"m0002","tr00208"
"m0002","tr00209"
