"tropeid","tropename"
"tr00001","A Taste of the Lash"
"tr00002","Abusive Parents"
"tr00003","Anguished Declaration of Love"
"tr00004","Berserk Button"
"tr00005","Bittersweet Ending"
"tr00006","Boyfriend Bluff"
"tr00007","Call-Back"
"tr00008","Cannot Spit It Out"
"tr00009","Catch-Phrase"
"tr00010","Chekhov's Gun"
"tr00011","Conscription"
"tr00012","Eating the Eye Candy"
"tr00013","Eiffel Tower Effect"
"tr00014","Epic Tracking Shot"
"tr00015","GaggingOnYourWords"
"tr00016","Hollywood Atheist"
"tr00017","Honor Before Reason"
"tr00018","Hooker with a Heart of Gold"
"tr00019","Interrupted Suicide"
"tr00020","Just in Time"
"tr00021","Made of Iron"
"tr00022","Marriage Before Romance"
"tr00023","Meaningful Name"
"tr00024","MetaphoricalMarriage"
"tr00025","Moment of Silence"
"tr00026","Mood Dissonance"
"tr00027","No-Holds-Barred Beatdown"
"tr00028","Not Afraid of You Anymore"
"tr00029","One Head Taller"
"tr00030","Politically Incorrect Hero"
"tr00031","Rage Against the Heavens"
"tr00032","Reports of My Death Were Greatly Exaggerated"
"tr00033","Say My Name"
"tr00034","Streetwalker"
"tr00035","The Peeping Tom"
"tr00036","The Woobie"
"tr00037","There Is Only One Bed"
"tr00038","Those Two Actors"
"tr00039","Title Drop"
"tr00040","ToplessnessFromTheBack"
"tr00041","What a Piece of Junk"
"tr00042","You Dirty Rat!"
"tr00043","A.I. Is a Crapshoot"
"tr00044","A Wizard Did It"
"tr00045","Absurdly Cool City"
"tr00046","Adaptation Explanation Extrication"
"tr00047","Aerith and Bob"
"tr00048","Aesoptinum"
"tr00049","All There in the Manual"
"tr00050","Alternative Calendar"
"tr00051","Ambiguously Bi"
"tr00052","Ambiguously Gay"
"tr00053","Apocalypse Maiden"
"tr00054","Argentina is Nazi-Land"
"tr00055","Armor-Piercing Question"
"tr00056","Art Deco"
"tr00057","ArtificialLimb"
"tr00058","Artificial Limbs"
"tr00059","As the Good Book Says..."
"tr00060","Background Halo"
"tr00061","Because You Were Nice to Me"
"tr00062","Big Blackout"
"tr00063","Big Electric Switch"
"tr00064","Big Word Shout"
"tr00065","Bigger on the Inside"
"tr00066","Bizarrchitecture"
"tr00067","Bowdlerization"
"tr00068","Brain Fever"
"tr00069","Brain Uploading"
"tr00070","Bribe Backfire"
"tr00071","Broken Base"
"tr00072","Burn the Witch!"
"tr00073","CathedralClimax"
"tr00074","Character Tics"
"tr00075","Chessmaster"
"tr00076","City Noir"
"tr00077","Clothing Damage"
"tr00078","Collapsing Lair"
"tr00079","Concept Album"
"tr00080","Conservation of Ninjutsu"
"tr00081","Cool Car"
"tr00082","Covers Always Lie"
"tr00083","Creator Backlash"
"tr00084","Crucified Hero Shot"
"tr00085","Crystal Spires and Togas"
"tr00086","Cult Classic"
"tr00087","Cyber Punk"
"tr00088","Cyber Punk"
"tr00089","Cyborg"
"tr00090","Damsel in Distress"
"tr00091","Dark Action Girl"
"tr00092","Darker and Edgier"
"tr00093","Death by Childbirth"
"tr00094","DeathlyDiesIrae"
"tr00095","DependingOnTheAuthor"
"tr00096","Designated Victim"
"tr00097","Didn't Think This Through"
"tr00098","Die Laughing"
"tr00099","Diesel Punk"
"tr00100","Disney Villain Death"
"tr00101","Ditzy Genius"
"tr00102","DoubleSubvertedTrope"
"tr00103","Downer Ending"
"tr00104","Downplayed"
"tr00105","Downplayed Trope"
"tr00106","Easily Overheard Conversation"
"tr00107","Elves vs. Dwarves"
"tr00108","Eternal Engine"
"tr00109","Evil Knockoff"
"tr00110","Evil Plan"
"tr00111","Evil Tower of Ominousness"
"tr00112","Exact Words"
"tr00113","Explosive Instrumentation"
"tr00114","Explosive Overclocking"
"tr00115","Extreme Speculative Stratification"
"tr00116","Eye Tropes"
"tr00117","Famous, Famous, Fictional"
"tr00118","Fan Disservice"
"tr00119","Fembot"
"tr00120","Femme Fatale"
"tr00121","Flying Car"
"tr00122","Futuristic Superhighway"
"tr00123","German Expressionism"
