"user_id","trope_id"
"1","tr03763"
"1","tr01836"
"1","tr05090"
"1","tr06720"
"1","tr04309"
"1","tr06277"
"1","tr02030"
"1","tr04025"
"2","tr02429"
"2","tr04437"
"2","tr04411"
"2","tr05867"
"2","tr06091"
"2","tr00248"
"2","tr04920"
"2","tr02756"
"2","tr06473"
"3","tr00709"
"3","tr05506"
"3","tr02071"
"3","tr03656"
"3","tr04176"
"3","tr00523"
"4","tr02481"
"4","tr05128"
"4","tr02208"
"4","tr01279"
"4","tr05566"
"4","tr01902"
"4","tr06253"
"4","tr06529"
"4","tr02120"
"5","tr04041"
"5","tr05946"
"5","tr01899"
"5","tr00596"
"5","tr03939"
"5","tr01792"
"5","tr05575"
"5","tr06401"
"5","tr01604"
"5","tr02949"
"6","tr03275"
"6","tr01420"
"6","tr00804"
"6","tr00204"
"6","tr02414"
"6","tr06396"
"7","tr04475"
"7","tr03165"
"7","tr04639"
"7","tr05545"
"7","tr04859"
"7","tr03708"
"8","tr01734"
"8","tr03441"
"8","tr03847"
"8","tr05101"
"8","tr03260"
"8","tr02086"
"8","tr01852"
"9","tr01789"
"9","tr05579"
"9","tr01196"
"9","tr03225"
"9","tr04763"
"9","tr01179"
"10","tr05643"
"10","tr01395"
"10","tr04726"
"10","tr00160"
"10","tr02849"
"10","tr04889"
"10","tr04347"
"11","tr01485"
"11","tr06129"
"11","tr00422"
"11","tr02521"
"11","tr04166"
"11","tr03599"
"12","tr01230"
"12","tr06168"
"12","tr05430"
"12","tr01891"
"12","tr00720"
"12","tr00544"
"13","tr01399"
"13","tr03355"
"13","tr04626"
"13","tr00564"
"13","tr04372"
"13","tr05318"
"13","tr00959"
"14","tr05265"
"14","tr04704"
"14","tr02984"
"14","tr03398"
"14","tr04096"
"14","tr02068"
"15","tr01557"
"15","tr00846"
"15","tr05607"
"15","tr05685"
"15","tr02296"
"15","tr02941"
"16","tr02286"
"16","tr04445"
"16","tr00818"
"16","tr00786"
"16","tr02294"
"16","tr04068"
"16","tr00840"
"16","tr04054"
"16","tr01941"
"16","tr06339"
"17","tr06271"
"17","tr02573"
"17","tr03507"
"17","tr05220"
"17","tr00409"
"17","tr01508"
"17","tr01641"
"17","tr00447"
"17","tr02006"
"17","tr06462"
"18","tr03458"
"18","tr06544"
"18","tr03121"
"18","tr02358"
"18","tr04318"
"18","tr03389"
"18","tr02488"
"18","tr04653"
"18","tr01636"
"19","tr05574"
"19","tr03078"
"19","tr06655"
"19","tr06239"
